Latitude,Longitude,LST
37.75,111.25,-1.5794003009796143
37.75,111.75,-0.6339983940124512
37.75,112.25,0.7783981561660767
37.75,112.75,1.3462005853652954
37.75,113.25,1.18880033493042
37.75,113.75,2.4477994441986084
37.75,114.25,4.047201156616211
37.75,114.75,5.853399276733398
37.75,115.25,6.167799472808838
37.75,115.75,5.465001106262207
37.75,116.25,6.310001850128174
37.75,116.75,6.365400314331055
37.75,117.25,5.416801929473877
37.75,117.75,4.647000312805176
37.75,118.25,3.308199167251587
37.75,118.75,2.0716006755828857
37.75,119.25,0.23169919848442078
37.75,119.75,
37.25,80.25,1.9773999452590942
37.25,80.75,4.712001323699951
37.25,81.25,5.075001239776611
37.25,81.75,5.249200820922852
37.25,82.25,4.654799938201904
37.25,82.75,4.006200313568115
37.25,83.25,3.3411996364593506
37.25,83.75,3.413398504257202
37.25,84.25,2.0500009059906006
37.25,84.75,0.9004009962081909
37.25,85.25,-2.8530008792877197
37.25,85.75,-9.34019947052002
37.25,86.25,-6.431400299072266
37.25,86.75,-2.932199478149414
37.25,87.25,-5.3211989402771
37.25,87.75,-6.209001064300537
37.25,88.25,-6.573599815368652
37.25,88.75,-4.5879998207092285
37.25,89.25,-3.9021999835968018
37.25,89.75,-5.3919997215271
37.25,90.25,-3.283799171447754
37.25,90.75,-4.547799587249756
37.25,91.25,-5.929399490356445
37.25,91.75,-1.0329986810684204
37.25,92.25,2.5010015964508057
37.25,92.75,0.9864001274108887
37.25,93.25,0.7580010890960693
37.25,93.75,1.3994009494781494
37.25,94.25,1.3015975952148438
37.25,94.75,2.370600700378418
37.25,95.25,2.327200412750244
37.25,95.75,1.182999849319458
37.25,96.25,0.34119904041290283
37.25,96.75,0.09700164943933487
37.25,97.25,-0.9413986206054688
37.25,97.75,-1.763600468635559
37.25,98.25,-2.472400188446045
37.25,98.75,-2.132199764251709
37.25,99.25,1.1599997282028198
37.25,99.75,0.1772003173828125
37.25,100.25,-0.9984005689620972
37.25,100.75,0.24920135736465454
37.25,101.25,0.39499878883361816
37.25,101.75,-0.18479889631271362
37.25,102.25,-2.593000888824463
37.25,102.75,1.357200026512146
37.25,103.25,3.072199821472168
37.25,103.75,2.6971993446350098
37.25,104.25,3.05440092086792
37.25,104.75,2.530400276184082
37.25,105.25,4.284002304077148
37.25,105.75,4.306600570678711
37.25,106.25,5.109400749206543
37.25,106.75,5.497798919677734
37.25,107.25,4.771801948547363
37.25,107.75,5.074199676513672
37.25,108.25,4.513602256774902
37.25,108.75,5.073399543762207
37.25,109.25,3.8657991886138916
37.25,109.75,2.36799955368042
37.25,110.25,0.5928012132644653
37.25,110.75,-0.25540101528167725
37.25,111.25,-0.09800079464912415
37.25,111.75,2.7177999019622803
