Latitude,Longitude,XCO2BiasCo,NDVI,EVI,LST
29.75,91.25,420.06308,0.176160991191864,0.0883309990167617,11.441598892211914
29.75,106.25,425.460145,0.479013979434967,0.2543269991874695,10.906000137329102
29.75,106.75,423.692385,0.4631949961185455,0.2357809990644455,11.1697998046875
30.25,84.25,412.05441,0.0884439945220947,0.0595519989728927,-1.9914004802703855
30.25,100.75,423.63368913,0.5589699745178223,0.2067669928073883,5.751799583435059
31.25,97.75,415.684488333,0.2138569951057434,0.1075809970498085,8.312999725341797
31.25,104.75,420.86795,0.4459009766578674,0.2745710015296936,10.855199813842772
31.25,111.25,420.095682857,0.5081619620323181,0.1965830028057098,8.94320011138916
31.25,114.25,420.939046667,0.3479669988155365,0.1791789978742599,9.390599250793455
31.25,115.75,422.627526667,0.4807779788970947,0.2102599889039993,7.847000598907471
31.75,86.75,416.131245556,0.0992879942059516,0.0678809955716133,1.544399380683899
31.75,104.75,424.0509,0.4890419840812683,0.2668669819831848,8.998000144958496
31.75,116.75,424.185,0.3161619901657104,0.1726899892091751,10.5447998046875
32.25,106.25,418.68025,0.5301399827003479,0.2293299883604049,6.3206000328063965
32.75,84.75,415.702130556,0.1085020005702972,0.0743310004472732,-2.426398515701294
32.75,93.25,419.16498,0.1097339987754821,0.0749629959464073,0.1611990332603454
32.75,101.25,415.623304615,0.2765489816665649,0.1372279971837997,5.185401916503906
32.75,109.25,421.083246,0.3912670016288757,0.1700109988451004,6.020199775695801
32.75,115.75,421.806966667,0.4499289989471435,0.2896789908409118,9.096599578857422
32.75,117.25,422.063745,0.3715279996395111,0.2123779952526092,8.659998893737793
33.75,82.25,416.327243333,0.060149997472763,0.0384509973227977,-4.639801025390625
33.75,90.25,416.282023333,0.0974899977445602,0.0671610012650489,-5.624398708343506
33.75,95.75,416.6482425,0.1676079928874969,0.104093998670578,2.350198268890381
33.75,103.75,419.21704,0.3902640044689178,0.1511510014533996,0.7518011331558228
33.75,106.75,423.28748,0.440123975276947,0.1585319936275482,1.61260187625885
33.75,113.25,421.03836,0.4232119917869568,0.2608470022678375,7.697600364685059
33.75,114.75,420.01645,0.4839439988136291,0.3351269960403442,7.514999866485596
