Latitude,Longitude,NDVI
38.25,109.25,0.14628399908542633
38.25,109.75,0.1656319946050644
38.25,110.25,0.1727519929409027
38.25,110.75,0.1771489977836609
38.25,111.25,0.2490839958190918
38.25,111.75,0.20024099946022034
38.25,112.25,0.24688299000263214
38.25,112.75,0.1953669935464859
38.25,113.25,0.22419999539852142
38.25,113.75,0.2257319986820221
38.25,114.25,0.21140499413013458
38.25,114.75,0.26945799589157104
38.25,115.25,0.2525089979171753
38.25,115.75,0.2327289879322052
38.25,116.25,0.220333993434906
38.25,116.75,0.20139199495315552
38.25,117.25,0.22432099282741547
38.25,117.75,0.08211624622344971
38.25,118.25,-0.06035454571247101
38.25,118.75,0.005882758181542158
38.25,119.25,
38.25,119.75,
37.75,80.25,0.07909899950027466
37.75,80.75,0.054291997104883194
37.75,81.25,0.05544799938797951
37.75,81.75,0.06429799646139145
37.75,82.25,0.059613000601530075
37.75,82.75,0.060551997274160385
37.75,83.25,0.06300299614667892
37.75,83.75,0.06840299814939499
37.75,84.25,0.06671799719333649
37.75,84.75,0.05330199748277664
37.75,85.25,0.04212699830532074
37.75,85.75,0.0501910001039505
37.75,86.25,0.05900599807500839
37.75,86.75,0.060040999203920364
37.75,87.25,0.059647999703884125
37.75,87.75,0.06317099928855896
37.75,88.25,0.07075300067663193
37.75,88.75,0.06175199896097183
37.75,89.25,0.047901999205350876
37.75,89.75,0.06649000197649002
37.75,90.25,0.07999400049448013
37.75,90.75,0.07547999918460846
37.75,91.25,0.0635169968008995
37.75,91.75,0.05142099782824516
37.75,92.25,0.05136599764227867
37.75,92.75,0.060836996883153915
37.75,93.25,0.04489799961447716
37.75,93.75,0.02778399921953678
37.75,94.25,0.05075399950146675
37.75,94.75,0.052136000245809555
37.75,95.25,0.0648379996418953
37.75,95.75,0.08162400126457214
37.75,96.25,0.08339599519968033
37.75,96.75,0.0872649997472763
37.75,97.25,0.08631699532270432
37.75,97.75,0.10675200074911118
37.75,98.25,0.12806999683380127
